shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_1252149,37.59863,-122.06157,104,3923.42743709
p_1252149,37.59866,-122.06139,105,3939.66804509
p_1252149,37.59868,-122.06098,106,3975.94269992
p_1252149,37.59866,-122.06056,107,4013.09882864
p_1252149,37.59863,-122.06035,108,4031.94025994
p_1252149,37.59858,-122.06013,109,4052.1452852
p_1252149,37.59848,-122.05979,110,4084.15609749
p_1252149,37.59834,-122.05943,111,4119.54157885
p_1252149,37.59817,-122.05913,112,4152.06658313
p_1252149,37.59764,-122.05828,113,4247.43317636
p_1252149,37.59741,-122.05783,114,4294.66546681
p_1252149,37.59707,-122.0571,115,4369.36477633
p_1252149,37.59697,-122.05685,116,4394.07532706
p_1252149,37.59673,-122.05613,117,4463.01350291
p_1252149,37.5962220139941,-122.054404047547,118,4625.52848207
p_1252149,37.596222,-122.054404,119,4625.53295909
p_1252149,37.59625,-122.0544,120,4628.66065907
p_1252149,37.59581,-122.0528,121,4778.16104606
p_1252149,37.595359,-122.051268,122,4922.4188454
p_1252149,37.5953590374416,-122.05126797277,123,4922.42364665
p_1252149,37.59537,-122.05126,124,4923.82940821
p_1252149,37.5943909979988,-122.047739992527,125,5253.13629062
p_1252149,37.5934280009714,-122.044144003627,126,5588.21791274
p_1252149,37.592055,-122.039108,127,6058.35942739
p_1252149,37.5920549696303,-122.039108024296,128,6058.36342311
p_1252149,37.59204,-122.03912,129,6060.3329631
p_1252149,37.59195,-122.03876,130,6093.65926611
p_1252149,37.59125,-122.03626,131,6327.72280909
p_1252149,37.59117,-122.03593,132,6358.19019522
p_1252149,37.590811,-122.03476,133,6468.93830504
p_1252149,37.5908110222348,-122.034759992333,134,6468.94086407
p_1252149,37.59084,-122.03475,135,6472.27594962
p_1252149,37.589302,-122.029241,136,6987.90144981
p_1252149,37.5893020214659,-122.029240998807,137,6987.90383461
p_1252149,37.58932,-122.02924,138,6989.90119807
p_1252149,37.588832,-122.027403,139,7160.94743713
p_1252149,37.5888319954933,-122.027403001434,140,7160.94795311
p_1252149,37.58881,-122.02741,141,7163.46624179
p_1252149,37.5877810120141,-122.02384104167,142,7498.73234094
p_1252149,37.587781,-122.023841,143,7498.7362554
p_1252149,37.5872051382046,-122.021534638203,144,7712.23069909
p_1252149,37.588095,-122.021178,145,7815.89666006
p_1252149,37.5880949890246,-122.021178048292,146,7815.90109582
p_1252149,37.58809,-122.0212,147,7817.91742511
p_1252149,37.5908759891691,-122.020215003829,148,8139.13540199
p_1252149,37.590876,-122.020215,149,8139.13665076
p_1252149,37.5919412445619,-122.019840727036,150,8261.90064336
p_1252149,37.5918229289643,-122.019323093116,151,8309.46514591
p_1252149,37.5910764773898,-122.01829938122,152,8432.0947369
p_1274523,37.5910729569513,-122.018296324214,1,0
p_1274523,37.590588,-122.01764,2,79.10177987
p_1274523,37.58969,-122.018661,3,213.50784579
p_1274523,37.58897,-122.017572,4,338.55420618
p_1274523,37.5889699795974,-122.017572036725,5,338.558162
p_1274523,37.58896,-122.01759,6,340.4930746
p_1274523,37.5887,-122.01721,7,384.75509165
p_1274523,37.58851,-122.01703,8,411.16410833
p_1274523,37.588407,-122.016992,9,423.07842563
p_1274523,37.5884,-122.01699,10,423.87517438
p_1274523,37.58828,-122.01694,11,437.9068476
p_1274523,37.588,-122.01696,12,469.03384492
p_1274523,37.587308,-122.017098,13,546.79912503
p_1274523,37.5873079886027,-122.017098017096,14,546.80109483
p_1274523,37.5873,-122.01711,15,548.18176917
p_1274523,37.58655,-122.01729,16,632.92785021
p_1274523,37.586361,-122.01738,17,655.36034541
p_1274523,37.58636,-122.01738,18,655.47133407
p_1274523,37.58614,-122.01748,19,681.43718139
p_1274523,37.587026997298,-122.020446990962,20,961.3732051
p_1274523,37.5881569861275,-122.024454950795,21,1336.92474196
p_1274523,37.5892499933444,-122.028368976166,22,1703.28217939
p_1274523,37.5898220050631,-122.030463018451,23,1898.82077673
p_1274523,37.5912360023258,-122.035616008471,24,2380.22477231
p_1274523,37.5921830059503,-122.03906502176,25,2702.45596711
p_1274523,37.5927690143429,-122.041208053352,26,2902.58424429
p_1274523,37.5935789890557,-122.04422095929,27,3183.4463333
p_1274523,37.5945419878937,-122.047637957043,28,3503.58535291
p_1274523,37.5957209872105,-122.051911953637,29,3903.07474859
p_1274523,37.595721,-122.051912,30,3903.07908213
p_1274523,37.5957,-122.05192,31,3905.51457186
p_1274523,37.59585,-122.05249,32,3958.53425411
p_1274523,37.59585,-122.052491,33,3958.6225664
p_1274523,37.596524988845,-122.05473896285,34,4170.80967391
p_1274523,37.596525,-122.054739,35,4170.81318055
p_1274523,37.59648,-122.05476,36,4176.14087619
p_1274523,37.59689,-122.0563,37,4319.55141826
p_1274523,37.59707,-122.05678,38,4366.41259163
p_1274523,37.59735,-122.05742,39,4430.91182956
p_1274523,37.59774,-122.0582,40,4512.26526709
p_1274523,37.59836,-122.0592,41,4624.21992511
p_1274523,37.59852,-122.05955,42,4659.86642835
p_1274523,37.59864,-122.05988,43,4691.90769179
p_1274523,37.59873,-122.06027,44,4727.76751991
p_1274523,37.59878,-122.06064,45,4760.90970974
p_1274523,37.59879,-122.06105,46,4797.13333445
p_1274523,37.59877,-122.06145,47,4832.52654404
p_1274523,37.59874,-122.06165,48,4850.49943636
p_1274523,37.59856,-122.06242,49,4921.37141353
