fare_id,route_id,origin_id,destination_id,contains_id
"1","1",,,
"1","2",,,
"1","3",,,
"1","4",,,
"1","5",,,
"1","6",,,
"1","7A",,,
"1","7B",,,
"1","8",,,
"1","15",,,
"1","17",,,
"1","38",,,
"4","82",,,4
"1","82",1,1,
"3","B",,,3
"2","B",2,2,
"2","B",1,2,
"2","B",2,1,
"3","G",,,3
"2","G",2,2,
"2","R",2,2,
"2","R",2,1,
"2","R",1,2,
"1","R",1,1,
"3","R",,,3
"1","Y",1,1,
"3","Y",,,3
