shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_899325,37.83838,-122.29319,110,4070.04804288
p_899325,37.83852,-122.29321,111,4085.68653141
p_899325,37.83862,-122.29324,112,4097.0956903
p_899325,37.83865,-122.29324,113,4100.42549306
p_899325,37.83881,-122.29329,114,4118.72169509
p_899325,37.83889,-122.29332,115,4127.98552349
p_899325,37.83896,-122.29333,116,4135.80476774
p_899325,37.83938,-122.29345,117,4183.60373845
p_899325,37.83948,-122.29346,118,4194.73793146
p_899325,37.83976,-122.29353,119,4226.42101967
p_899325,37.83982,-122.29359,120,4234.92063513
p_899325,37.84001,-122.29353,121,4256.66065837
p_899325,37.84033,-122.29345,122,4292.86989513
p_899325,37.84041,-122.29342,123,4302.13371029
p_899325,37.84069,-122.29334,124,4333.99966889
p_899325,37.84076,-122.29335,125,4341.8189131
p_899325,37.84086,-122.29332,126,4353.22805762
p_899325,37.840952218927,-122.29325205088,127,4365.0830983
p_899325,37.8409221997686,-122.293308355671,128,4371.05504963
p_899325,37.8409696951524,-122.293300336698,129,4376.37377122
p_899325,37.841093183007,-122.293304346185,130,4390.08465969
p_899325,37.841223003349,-122.293340431564,131,4404.83980049
p_899325,37.8416504589585,-122.293476754107,132,4453.77843881
p_899325,37.8418974321905,-122.293544915384,133,4481.83973074
p_899325,37.842231151893,-122.293645550503,134,4519.92487036
p_899325,37.8423229746448,-122.29362550307,135,4530.26822876
p_899325,37.8424432939389,-122.293569370258,136,4544.50756122
p_899325,37.8426047747987,-122.293441066697,137,4565.6920747
p_899325,37.8427029296517,-122.293380924398,138,4577.80465625
p_899325,37.8428327419158,-122.293365603785,139,4592.2759423
p_899325,37.8429973881832,-122.293389660705,140,4610.67287539
p_899325,37.84316,-122.29345,141,4629.48691704
p_899325,37.84367,-122.29362,142,4688.03788099
p_899325,37.844,-122.29372,143,4725.70846238
p_899325,37.84436,-122.29385,144,4767.27217906
p_899325,37.84474,-122.29407,145,4813.68235314
p_899325,37.84502,-122.29425,146,4848.56583665
p_899325,37.84592,-122.29451,147,4951.04774285
p_899325,37.84617,-122.29458,148,4979.47189486
p_899325,37.84618,-122.29538,149,5049.89312977
p_899325,37.84619,-122.29565,150,5073.68324734
p_899325,37.84618,-122.29646,151,5144.98452073
p_899325,37.84597,-122.29646,152,5168.29316957
p_899325,37.84587,-122.29644,153,5179.53124906
p_899325,37.84567,-122.29638,154,5202.34947449
p_899325,37.84374,-122.29577,155,5423.19292647
p_899325,37.8436,-122.29572,156,5439.34320776
p_899325,37.84302,-122.29555,157,5505.43555477
p_899325,37.84277,-122.29547,158,5534.06344277
p_899325,37.84268,-122.29544,159,5544.39597097
p_899325,37.84259,-122.29541,160,5554.72849984
p_899325,37.84235,-122.29534,161,5582.07021372
p_899325,37.84227,-122.29531,162,5591.33401197
p_899325,37.84176,-122.29515,163,5649.66629444
p_899325,37.84052,-122.29477,164,5791.30429788
p_899325,37.84051,-122.29476,165,5792.72089521
p_899325,37.84043,-122.29474,166,5801.77320346
p_899325,37.84032,-122.29472,167,5814.10875016
p_899325,37.84023,-122.29472,168,5824.09816123
p_899325,37.84012,-122.29475,169,5836.58974721
p_899325,37.83981,-122.29486,170,5872.33411376
p_899325,37.83965,-122.29492,171,5890.86175523
p_899325,37.83949,-122.29497,172,5909.15794772
p_899325,37.83942,-122.29498,173,5916.97719196
p_899325,37.83937,-122.29497,174,5922.59623776
p_899325,37.83929,-122.29494,175,5931.86006198
p_899325,37.83898,-122.29484,176,5967.37611812
p_899325,37.83852,-122.29471,177,6019.69973754
p_899325,37.83839,-122.29539,178,6081.27118455
p_899325,37.83835,-122.29557,179,6097.72593424
p_899325,37.83829,-122.29587,180,6124.96020524
p_899325,37.83827,-122.29602,181,6138.34926039
p_899325,37.83826,-122.29618,182,6152.47693019
p_899325,37.83814,-122.29681,183,6209.5097948
p_899325,37.83807,-122.297,184,6227.95116868
p_899325,37.838,-122.29716,185,6244.03613271
p_899325,37.83797,-122.29726,186,6253.44741282
p_899325,37.83794,-122.29733,187,6260.45134551
p_899325,37.83792,-122.29739,188,6266.18042185
p_899325,37.83791,-122.29743,189,6269.87223911
p_899325,37.83772,-122.29836,190,6354.40868038
p_899325,37.8377877872787,-122.298384432215,191,6362.23396197
p_899325,37.8374717887491,-122.299808837676,192,6492.43154597
p_899325,37.8382437099144,-122.300244595625,193,6586.30416751
p_899325,37.83823,-122.3003,194,6591.41302872
p_899325,37.83874,-122.30057,195,6652.80657469
p_899325,37.83906,-122.30073,196,6691.01490829
p_899325,37.8391,-122.30071,197,6695.79094854
p_899325,37.83913,-122.30071,198,6699.12075157
p_899325,37.83918,-122.30072,199,6704.7397976
p_899325,37.83922,-122.30076,200,6710.40622498
p_899325,37.83924,-122.30081,201,6715.33555742
p_899325,37.83925,-122.30086,202,6719.87454934
p_899325,37.83924,-122.3009,203,6723.56630638
p_899325,37.83922,-122.30095,204,6728.49563882
p_899325,37.83919,-122.30098,205,6732.74545925
p_899325,37.83916,-122.301,206,6736.51200584
p_899325,37.83912,-122.30101,207,6741.03816205
p_899325,37.83908,-122.301,208,6745.56431833
p_899325,37.83903,-122.30095,209,6752.64735781
p_899325,37.83901,-122.30091,210,6756.80968983
