zone_id,access_node_id,distance,geometry
24.0,1000003.0,1414.220657503312,"LINESTRING (-122.28391223 37.81227116, -122.268722 37.80806)"
24.0,1000050.0,1281.1078891894297,"LINESTRING (-122.28391223 37.81227116, -122.295144 37.804923)"
25.0,1000001.0,1312.8384050910558,"LINESTRING (-122.28616396 37.80607573, -122.271589 37.803471)"
25.0,1000003.0,1548.12900963326,"LINESTRING (-122.28616396 37.80607573, -122.268722 37.80806)"
25.0,1000050.0,799.2832084318221,"LINESTRING (-122.28616396 37.80607573, -122.295144 37.804923)"
26.0,1000001.0,873.8876435629417,"LINESTRING (-122.28142819 37.80462375, -122.271589 37.803471)"
26.0,1000003.0,1179.8682342315008,"LINESTRING (-122.28142819 37.80462375, -122.268722 37.80806)"
26.0,1000025.0,1636.4073723105275,"LINESTRING (-122.28142819 37.80462375, -122.265232 37.797357)"
26.0,1000050.0,1205.4693776536074,"LINESTRING (-122.28142819 37.80462375, -122.295144 37.804923)"
27.0,1000001.0,998.9730840640258,"LINESTRING (-122.27857187 37.81056144, -122.271589 37.803471)"
27.0,1000003.0,908.9179615909615,"LINESTRING (-122.27857187 37.81056144, -122.268722 37.80806)"
27.0,1000025.0,1878.6639932246608,"LINESTRING (-122.27857187 37.81056144, -122.265232 37.797357)"
27.0,1000050.0,1585.1551097686252,"LINESTRING (-122.27857187 37.81056144, -122.295144 37.804923)"
28.0,1000001.0,628.8531018466772,"LINESTRING (-122.27315527 37.80898936, -122.271589 37.803471)"
28.0,1000003.0,402.9443941169912,"LINESTRING (-122.27315527 37.80898936, -122.268722 37.80806)"
28.0,1000025.0,1468.8832451045005,"LINESTRING (-122.27315527 37.80898936, -122.265232 37.797357)"
28.0,1000050.0,1983.9862817647272,"LINESTRING (-122.27315527 37.80898936, -122.295144 37.804923)"
29.0,1000001.0,518.6787148990738,"LINESTRING (-122.26843408 37.8074137, -122.271589 37.803471)"
29.0,1000003.0,76.18676409402913,"LINESTRING (-122.26843408 37.8074137, -122.268722 37.80806)"
29.0,1000025.0,1153.0994720040744,"LINESTRING (-122.26843408 37.8074137, -122.265232 37.797357)"
30.0,1000001.0,292.4810610205639,"LINESTRING (-122.27217763 37.8008821, -122.271589 37.803471)"
30.0,1000003.0,853.9371127215963,"LINESTRING (-122.27217763 37.8008821, -122.268722 37.80806)"
30.0,1000025.0,725.2991745818571,"LINESTRING (-122.27217763 37.8008821, -122.265232 37.797357)"
31.0,1000001.0,478.73874863923197,"LINESTRING (-122.27696879 37.8027868, -122.271589 37.803471)"
31.0,1000003.0,932.0617063403104,"LINESTRING (-122.27696879 37.8027868, -122.268722 37.80806)"
31.0,1000025.0,1194.957377345382,"LINESTRING (-122.27696879 37.8027868, -122.265232 37.797357)"
31.0,1000050.0,1614.3835476902623,"LINESTRING (-122.27696879 37.8027868, -122.295144 37.804923)"
32.0,1000001.0,925.8266803253413,"LINESTRING (-122.27764543 37.7966575, -122.271589 37.803471)"
32.0,1000003.0,1490.7127200474472,"LINESTRING (-122.27764543 37.7966575, -122.268722 37.80806)"
32.0,1000025.0,1093.4732573726733,"LINESTRING (-122.27764543 37.7966575, -122.265232 37.797357)"
32.0,1000050.0,1791.2007940795243,"LINESTRING (-122.27764543 37.7966575, -122.295144 37.804923)"
33.0,1000001.0,960.8170825767762,"LINESTRING (-122.26757753 37.79543253, -122.271589 37.803471)"
33.0,1000003.0,1407.706402419928,"LINESTRING (-122.26757753 37.79543253, -122.268722 37.80806)"
33.0,1000025.0,297.0957113774025,"LINESTRING (-122.26757753 37.79543253, -122.265232 37.797357)"
34.0,1000001.0,978.958431670874,"LINESTRING (-122.26060231 37.80493923, -122.271589 37.803471)"
34.0,1000003.0,793.2698374865221,"LINESTRING (-122.26060231 37.80493923, -122.268722 37.80806)"
