timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,direction_label,orientation,start_time,end_time
4305,1028,0,20230813,20231230,1,1,1,1,1,0,0,"Sebastopol, Cotati, Rohnert Park",Weekday,East,horizontal,,
4401,3283,0,20230813,20231230,1,1,1,1,1,0,0,Cloverdale Shuttle,Weekday,Loop,horizontal,,
4408,1038,0,20230813,20231230,0,0,0,0,0,1,0,"Cotati, Rohnert Park, Sonoma State University",Saturday only,Loop,horizontal,,
4410,1039,0,20230813,20231230,0,0,0,0,0,1,0,Northern Rohnert Park,Saturday only,Loop,horizontal,,
4410,1040,0,20230813,20231230,0,0,0,0,0,1,0,Northern Rohnert Park,Saturday only,Loop,horizontal,,
4577,1036,0,20230813,20231230,1,1,1,1,1,0,0,"Cloverdale, Healdsburg, Windsor, Santa Rosa",Weekday,North,horizontal,,
4578,1036,1,20230813,20231230,1,1,1,1,1,0,0,"Cloverdale, Healdsburg, Windsor, Santa Rosa",Weekday,South,horizontal,,
4633,1044,0,20230813,20231230,1,1,1,1,1,0,0,Windsor Shuttle,Weekday,Loop,horizontal,,
4634,1079,0,20230813,20231230,1,1,1,1,1,0,0,Healdsburg Shuttle,Weekday,North Loop,horizontal,,
4635,1079,1,20230813,20231230,1,1,1,1,1,0,0,Healdsburg Shuttle,Weekday,South Loop,horizontal,,
5556,1029,0,20230813,20231230,0,0,0,0,0,0,1,"Santa Rosa, Sonoma Valley",Sunday only,East,horizontal,,
5557,1029,1,20230813,20231230,0,0,0,0,0,0,1,"Santa Rosa, Sonoma Valley",Sunday only,West,horizontal,,
5557,1051,1,20230813,20231230,0,0,0,0,0,0,1,"Santa Rosa, Sonoma Valley",Sunday only,West,horizontal,,
5560,1033,0,20230813,20231230,0,0,0,0,0,0,1,"Petaluma, JC, SSU, Santa Rosa",Sunday only,North,horizontal,,
5560,1035,0,20230813,20231230,0,0,0,0,0,0,1,"Santa Rosa, Rohnert Park, Cotati, Petaluma",Sunday only,North,horizontal,,
5561,1033,1,20230813,20231230,0,0,0,0,0,0,1,"Petaluma, JC, SSU, Santa Rosa",Sunday only,South,horizontal,,
5561,1035,1,20230813,20231230,0,0,0,0,0,0,1,"Santa Rosa, Rohnert Park, Cotati, Petaluma",Sunday only,South,horizontal,,
5562,1044,0,20230813,20231230,0,0,0,0,0,1,0,Windsor Shuttle,Saturday only,Loop,horizontal,,
5563,3283,0,20230813,20231230,0,0,0,0,0,1,0,Cloverdale Shuttle,Saturday only,Loop,horizontal,,
5564,1079,0,20230813,20231230,0,0,0,0,0,1,0,Healdsburg Shuttle,Saturday only,North Loop,horizontal,,
5565,1079,1,20230813,20231230,0,0,0,0,0,1,0,Healdsburg Shuttle,Saturday only,South Loop,horizontal,,
