service_id,date,exception_type
3_merged_1478086,20240219,2
3_merged_1478086,20240404,2
3_merged_1478086,20240606,2
3_merged_1478086,20240607,2
3_merged_1478086,20240115,2
3_merged_1478086,20240401,2
3_merged_1478086,20240402,2
3_merged_1478086,20240527,2
3_merged_1478086,20240405,2
2_merged_1478087,20240403,2
4_merged_1478088,20240314,2
4_merged_1478088,20240315,2
4_merged_1478088,20240213,2
4_merged_1478088,20240212,2
4_merged_1478088,20240215,2
4_merged_1478088,20240214,2
4_merged_1478088,20240312,2
4_merged_1478088,20240216,2
4_merged_1478088,20240219,1
4_merged_1478088,20240603,2
4_merged_1478088,20240606,1
4_merged_1478088,20240607,1
4_merged_1478088,20240604,2
4_merged_1478088,20240605,2
4_merged_1478088,20240408,2
4_merged_1478088,20240409,2
4_merged_1478088,20240529,2
4_merged_1478088,20240528,2
4_merged_1478088,20240412,2
4_merged_1478088,20240523,2
4_merged_1478088,20240522,2
4_merged_1478088,20240521,2
4_merged_1478088,20240520,2
4_merged_1478088,20240527,2
4_merged_1478088,20240405,1
4_merged_1478088,20240524,2
4_merged_1478088,20240410,2
4_merged_1478088,20240313,2
4_merged_1478088,20240401,1
4_merged_1478088,20240416,2
4_merged_1478088,20240329,2
4_merged_1478088,20240328,2
4_merged_1478088,20240325,2
4_merged_1478088,20240327,2
4_merged_1478088,20240326,2
4_merged_1478088,20240130,2
4_merged_1478088,20240131,2
4_merged_1478088,20240322,2
4_merged_1478088,20240307,2
4_merged_1478088,20240306,2
4_merged_1478088,20240305,2
4_merged_1478088,20240304,2
4_merged_1478088,20240301,2
4_merged_1478088,20240311,2
4_merged_1478088,20240318,2
4_merged_1478088,20240222,2
4_merged_1478088,20240223,2
4_merged_1478088,20240226,2
4_merged_1478088,20240319,2
4_merged_1478088,20240419,2
4_merged_1478088,20240418,2
4_merged_1478088,20240516,2
4_merged_1478088,20240517,2
4_merged_1478088,20240514,2
4_merged_1478088,20240515,2
4_merged_1478088,20240417,2
4_merged_1478088,20240513,2
4_merged_1478088,20240510,2
4_merged_1478088,20240415,2
4_merged_1478088,20240321,2
4_merged_1478088,20240320,2
4_merged_1478088,20240129,2
4_merged_1478088,20240126,2
4_merged_1478088,20240125,2
4_merged_1478088,20240124,2
4_merged_1478088,20240123,2
4_merged_1478088,20240122,2
4_merged_1478088,20240228,2
4_merged_1478088,20240229,2
4_merged_1478088,20240429,2
4_merged_1478088,20240501,2
4_merged_1478088,20240426,2
4_merged_1478088,20240503,2
4_merged_1478088,20240502,2
4_merged_1478088,20240507,2
4_merged_1478088,20240506,2
4_merged_1478088,20240509,2
4_merged_1478088,20240508,2
4_merged_1478088,20240424,2
4_merged_1478088,20240425,2
4_merged_1478088,20240422,2
4_merged_1478088,20240402,1
4_merged_1478088,20240403,1
4_merged_1478088,20240404,1
4_merged_1478088,20240423,2
4_merged_1478088,20240220,2
4_merged_1478088,20240227,2
4_merged_1478088,20240116,2
4_merged_1478088,20240117,2
4_merged_1478088,20240115,1
4_merged_1478088,20240118,2
4_merged_1478088,20240119,2
4_merged_1478088,20240208,2
4_merged_1478088,20240209,2
4_merged_1478088,20240206,2
4_merged_1478088,20240207,2
4_merged_1478088,20240205,2
4_merged_1478088,20240202,2
4_merged_1478088,20240201,2
4_merged_1478088,20240430,2
4_merged_1478088,20240530,2
4_merged_1478088,20240531,2
4_merged_1478088,20240308,2
4_merged_1478088,20240411,2
4_merged_1478088,20240221,2
4_merged_1478084,20231123,2
4_merged_1478084,20231121,2
4_merged_1478084,20231120,2
4_merged_1478084,20231124,2
4_merged_1478084,20240105,2
4_merged_1478084,20240104,2
4_merged_1478084,20231225,2
4_merged_1478084,20240101,2
4_merged_1478084,20231229,2
4_merged_1478084,20240102,2
4_merged_1478084,20231228,2
4_merged_1478084,20231226,2
1_merged_1478081,20231122,2
1_merged_1478081,20231227,2
1_merged_1478081,20240103,2
