shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_179565,37.861626008102,-122.45219001536,4,1905.22068003
p_179565,37.856636,-122.478275,5,4266.5779181
p_901273,37.809579,-122.412277,1,0
p_901273,37.8129062346176,-122.415897440175,2,487.87194064
p_901273,37.8208949484189,-122.425995941735,3,1743.60179158
p_901273,37.8251099647169,-122.431408581561,4,2411.41028216
p_901273,37.8282595540095,-122.433751226482,5,2817.29780522
p_901273,37.8345105489169,-122.437239782306,6,3576.04665981
p_901273,37.841556671026,-122.440928201969,7,4422.8357356
p_901273,37.8469106808107,-122.444617864584,8,5100.04487151
p_901273,37.8501593462213,-122.44634817686,9,5491.46647214
p_901273,37.8533969790454,-122.448108229038,10,5882.786543
p_901273,37.8574544043641,-122.450152891598,11,6367.75290268
p_901273,37.860502195436,-122.451096917016,12,6716.09005074
p_901273,37.8638309902203,-122.451290329343,13,7085.95765677
p_901273,37.8668398909131,-122.45181766261,14,7423.13546221
p_901273,37.8682914991525,-122.452341260339,15,7590.71278074
p_901273,37.872939,-122.455446,16,8174.4256142
p_901273,37.8694787256854,-122.45347302113,17,8595.90465903
p_901273,37.8622361884325,-122.454023470477,18,9401.24024157
p_901273,37.8571329670924,-122.458637427111,19,10098.15893483
p_901273,37.8563361893713,-122.467536358223,20,10886.26976699
p_901273,37.856263754609,-122.475242649081,21,11564.49855582
p_901273,37.856636,-122.478275,22,11834.53529494
