id,name,from_node_id,to_node_id,length,lanes,dir_flag,free_speed,capacity,link_type,link_type_name,geometry,allowed_uses,from_biway,is_link
POINT (-122.2953295 37.796028)_POINT (-122.295144 37.804923),,POINT (-122.2953295 37.796028),POINT (-122.295144 37.804923),990.3212901201225,1,1,-1,-1,-1,,"LINESTRING (-122.2953295 37.796028, -122.295144 37.804923)",auto,1,True
POINT (-122.4257253 37.6332687)_POINT (-122.416384 37.63772),,POINT (-122.4257253 37.6332687),POINT (-122.416384 37.63772),961.0736273233438,1,1,-1,-1,-1,,"LINESTRING (-122.4257253 37.6332687, -122.416384 37.63772)",auto,1,True
POINT (-122.3887434 37.6044311)_POINT (-122.38684 37.600199),,POINT (-122.3887434 37.6044311),POINT (-122.38684 37.600199),500.1297035589843,1,1,-1,-1,-1,,"LINESTRING (-122.3887434 37.6044311, -122.38684 37.600199)",auto,1,True
POINT (-122.3977958 37.5995339)_POINT (-122.38684 37.600199),,POINT (-122.3977958 37.5995339),POINT (-122.38684 37.600199),969.1058608291738,1,1,-1,-1,-1,,"LINESTRING (-122.3977958 37.5995339, -122.38684 37.600199)",auto,1,True
POINT (-122.4343717 37.6659681)_POINT (-122.444254 37.664437),,POINT (-122.4343717 37.6659681),POINT (-122.444254 37.664437),887.3504885481639,1,1,-1,-1,-1,,"LINESTRING (-122.4343717 37.6659681, -122.444254 37.664437)",auto,1,True
POINT (-122.4196803 37.785427)_POINT (-122.413879 37.77945),,POINT (-122.4196803 37.785427),POINT (-122.413879 37.77945),838.5757080790004,1,1,-1,-1,-1,,"LINESTRING (-122.4196803 37.785427, -122.413879 37.77945)",auto,1,True
POINT (-122.412097 37.7870222)_POINT (-122.407387 37.784645),,POINT (-122.412097 37.7870222),POINT (-122.407387 37.784645),491.66081415949446,1,1,-1,-1,-1,,"LINESTRING (-122.412097 37.7870222, -122.407387 37.784645)",auto,1,True
POINT (-122.412097 37.7870222)_POINT (-122.413879 37.77945),,POINT (-122.412097 37.7870222),POINT (-122.413879 37.77945),857.389451120389,1,1,-1,-1,-1,,"LINESTRING (-122.412097 37.7870222, -122.413879 37.77945)",auto,1,True
POINT (-122.412097 37.7870222)_POINT (-122.401642 37.789213),,POINT (-122.412097 37.7870222),POINT (-122.401642 37.789213),951.5495338240696,1,1,-1,-1,-1,,"LINESTRING (-122.412097 37.7870222, -122.401642 37.789213)",auto,1,True
POINT (-122.4098067 37.7909959)_POINT (-122.407387 37.784645),,POINT (-122.4098067 37.7909959),POINT (-122.407387 37.784645),738.3314538657373,1,1,-1,-1,-1,,"LINESTRING (-122.4098067 37.7909959, -122.407387 37.784645)",auto,1,True
POINT (-122.4098067 37.7909959)_POINT (-122.401642 37.789213),,POINT (-122.4098067 37.7909959),POINT (-122.401642 37.789213),745.1771155040608,1,1,-1,-1,-1,,"LINESTRING (-122.4098067 37.7909959, -122.401642 37.789213)",auto,1,True
POINT (-122.4138753 37.6290085)_POINT (-122.416384 37.63772),,POINT (-122.4138753 37.6290085),POINT (-122.416384 37.63772),994.6588709029429,1,1,-1,-1,-1,,"LINESTRING (-122.4138753 37.6290085, -122.416384 37.63772)",auto,1,True
POINT (-122.4671356 37.7033239)_POINT (-122.468994 37.706304),,POINT (-122.4671356 37.7033239),POINT (-122.468994 37.706304),369.92289736750826,1,1,-1,-1,-1,,"LINESTRING (-122.4671356 37.7033239, -122.468994 37.706304)",auto,1,True
POINT (-122.4625775 37.7063626)_POINT (-122.468994 37.706304),,POINT (-122.4625775 37.7063626),POINT (-122.468994 37.706304),565.1457039760506,1,1,-1,-1,-1,,"LINESTRING (-122.4625775 37.7063626, -122.468994 37.706304)",auto,1,True
POINT (-122.4664094 37.690259)_POINT (-122.466167 37.684642),,POINT (-122.4664094 37.690259),POINT (-122.466167 37.684642),625.6460928593985,1,1,-1,-1,-1,,"LINESTRING (-122.4664094 37.690259, -122.466167 37.684642)",auto,1,True
POINT (-122.4646175 37.6858755)_POINT (-122.466167 37.684642),,POINT (-122.4646175 37.6858755),POINT (-122.466167 37.684642),193.6190814007942,1,1,-1,-1,-1,,"LINESTRING (-122.4646175 37.6858755, -122.466167 37.684642)",auto,1,True
POINT (-122.4011589 37.7820284)_POINT (-122.407387 37.784645),,POINT (-122.4011589 37.7820284),POINT (-122.407387 37.784645),620.5537957552041,1,1,-1,-1,-1,,"LINESTRING (-122.4011589 37.7820284, -122.407387 37.784645)",auto,1,True
POINT (-122.4011589 37.7820284)_POINT (-122.401642 37.789213),,POINT (-122.4011589 37.7820284),POINT (-122.401642 37.789213),800.9145039269142,1,1,-1,-1,-1,,"LINESTRING (-122.4011589 37.7820284, -122.401642 37.789213)",auto,1,True
POINT (-122.4573318 37.7217838)_POINT (-122.44751 37.721758),,POINT (-122.4573318 37.7217838),POINT (-122.44751 37.721758),864.8410490164575,1,1,-1,-1,-1,,"LINESTRING (-122.4573318 37.7217838, -122.44751 37.721758)",auto,1,True
POINT (-122.4523956 37.7193286)_POINT (-122.44751 37.721758),,POINT (-122.4523956 37.7193286),POINT (-122.44751 37.721758),508.14119758833505,1,1,-1,-1,-1,,"LINESTRING (-122.4523956 37.7193286, -122.44751 37.721758)",auto,1,True
POINT (-122.4125954 37.783933)_POINT (-122.407387 37.784645),,POINT (-122.4125954 37.783933),POINT (-122.407387 37.784645),465.03073026298847,1,1,-1,-1,-1,,"LINESTRING (-122.4125954 37.783933, -122.407387 37.784645)",auto,1,True
