zone_id,geometry
1140,Point (-122.03971756 37.39152067)
1141,Point (-122.0637119 37.37861637)
1142,Point (-122.05185971 37.37844068)
1143,Point (-122.0578253 37.37933131)
1144,Point (-122.05822079 37.40018783)
1145,Point (-122.06083135 37.39133175)
1146,Point (-122.07565425 37.40109476)
1147,Point (-122.08508135 37.4058362)
1148,Point (-122.10172859 37.40922598)
1149,Point (-122.09329009 37.4060747)
1150,Point (-122.09644763 37.41754628)
1151,Point (-122.1155575 37.40693604)
1152,Point (-122.09799067 37.39801622)
1153,Point (-122.10676499 37.40183951)
1154,Point (-122.09081443 37.39430297)
1155,Point (-122.08170745 37.39079888)
1156,Point (-122.0744415 37.38530006)
1157,Point (-122.09448395 37.38405443)
1158,Point (-122.08364724 37.37862467)
1159,Point (-122.08743121 37.36937086)
1160,Point (-122.07311434 37.36990775)
1161,Point (-122.0808617 37.35819865)
1162,Point (-122.07302652 37.34624699)
1163,Point (-122.08129906 37.34064056)
1164,Point (-122.10277954 37.37171523)
1165,Point (-122.11256423 37.37738646)
1166,Point (-122.10879325 37.39122466)
1167,Point (-122.12124175 37.39268189)
1168,Point (-122.13133591 37.40866559)
1169,Point (-122.12926619 37.41728905)
1170,Point (-122.11094426 37.42698622)
1171,Point (-122.1116239 37.41438917)
1172,Point (-122.11969175 37.4204576)
1173,Point (-122.13092914 37.42761254)
1174,Point (-122.12300213 37.43744488)
1175,Point (-122.13368282 37.44565245)
1176,Point (-122.14816529 37.45104253)
1177,Point (-122.1590355 37.44537933)
1178,Point (-122.14488502 37.43572913)
1179,Point (-122.15746452 37.42045826)
1180,Point (-122.17763608 37.43241386)
1181,Point (-122.16520785 37.43000387)
1182,Point (-122.1560072 37.42589484)
1183,Point (-122.15913822 37.42162344)
1184,Point (-122.13325447 37.37852105)
1185,Point (-122.0984584 37.35322013)
1186,Point (-122.12761065 37.31464976)
1187,Point (-121.92408054 37.15983518)
1188,Point (-121.89260114 37.23946461)
1189,Point (-121.85888324 37.21434777)
1190,Point (-121.85491748 37.21973776)
1191,Point (-121.85917703 37.19258535)
1192,Point (-121.8705202 37.21322344)
1193,Point (-121.81144517 37.19874119)
1194,Point (-121.83526683 37.2058234)
1195,Point (-121.89205656 37.22791992)
1196,Point (-121.87788372 37.23062848)
1197,Point (-121.76970155 37.25709809)
1198,Point (-121.77290361 37.24066178)
1199,Point (-121.8668603 37.27003018)
1200,Point (-121.83621276 37.23960089)
1201,Point (-121.84546975 37.24145417)
1202,Point (-121.8607939 37.24544262)
1203,Point (-121.81803489 37.27304464)
1204,Point (-121.8094307 37.26298824)
1205,Point (-121.84690749 37.27088682)
1206,Point (-121.8372469 37.27212217)
1207,Point (-121.82480087 37.26369575)
1208,Point (-121.81191837 37.25508976)
1209,Point (-121.82538431 37.25506198)
1210,Point (-121.86851954 37.26050204)
1211,Point (-121.85292955 37.26047231)
1212,Point (-121.8388846 37.25949662)
1213,Point (-121.85971282 37.25302307)
1214,Point (-121.81959667 37.24045638)
1215,Point (-121.8173 37.24733554)
1216,Point (-121.82509222 37.23247875)
1217,Point (-121.8111959 37.23112119)
1218,Point (-121.78336147 37.23278085)
1219,Point (-121.79752136 37.23862448)
1220,Point (-121.77191464 37.22920537)
1221,Point (-121.76265159 37.22386177)
1222,Point (-121.71802067 37.18307625)
1223,Point (-121.70819845 37.04993062)
1224,Point (-121.64909269 37.13524276)
1225,Point (-121.67817029 37.12311217)
1226,Point (-121.66023594 37.1231598)
1227,Point (-121.63794564 37.09976038)
1228,Point (-121.62676638 37.15216757)
1229,Point (-121.60960391 37.13014827)
1230,Point (-121.60851229 37.06175419)
1231,Point (-121.57232007 37.09587224)
1232,Point (-121.62480146 37.02964844)
1233,Point (-121.59372523 37.0243851)
1234,Point (-121.58303718 37.02311992)
1235,Point (-121.58478052 36.97928093)
1236,Point (-121.58019413 37.00465323)
1237,Point (-121.56824333 37.01125734)
1238,Point (-121.51780701 37.0100804)
1239,Point (-121.51535596 37.24060545)
1240,Point (-122.2178084 38.11535509)
1241,Point (-122.19375791 38.13259697)
1242,Point (-122.21108491 38.10421747)
1243,Point (-122.22464582 38.10464222)
