feed_timestamp,alert_id,cause,effect,severity_level,header_text_en,description_text_en,url_en,active_period_start,active_period_end,active_period_count,affected_route_id,affected_stop_id,affected_agency_id,affected_trip_id,affected_direction_id
2025-10-04 00:11:54,RTA:15354620,OTHER_CAUSE,REDUCED_SERVICE,WARNING,Route MLHD Select Trips Canceled,"The following trip(s) will not operate today. Please use the trip planner for alternative options.

Northbound
6:55 PM - Granite Reef Senior Center > 7:27 PM - Mustang TC

Southbound
4:50 PM - Mustang TC > 5:25 PM - Granite Reef Senior Center

7:30 PM - Mustang TC > 8:02 PM - Granite Reef Senior Center

",,2025-10-03 21:50:00,2025-10-04 03:02:00,1,,,,22654095,
2025-10-04 00:11:54,RTA:15354620,OTHER_CAUSE,REDUCED_SERVICE,WARNING,Route MLHD Select Trips Canceled,"The following trip(s) will not operate today. Please use the trip planner for alternative options.

Northbound
6:55 PM - Granite Reef Senior Center > 7:27 PM - Mustang TC

Southbound
4:50 PM - Mustang TC > 5:25 PM - Granite Reef Senior Center

7:30 PM - Mustang TC > 8:02 PM - Granite Reef Senior Center

",,2025-10-03 21:50:00,2025-10-04 03:02:00,1,,,,22654317,
2025-10-04 00:11:54,RTA:15459763,OTHER_CAUSE,NO_EFFECT,WARNING,Washington/Central Ave station is open for limited service,"This B Line station is open only for early morning trips going towards Metro Parkway. Trains will serve this station only during these times: 

Monday-Friday: 3:55-5:02 a.m. 
Saturday: 3:59- 5:25 a.m. 
Sunday: 4:11-4:53 a.m.  

All other times:  to go northbound towards Metro Parkway, please go to Downtown Phoenix Hub – Central Ave and board the B Line train.",,2025-06-07 07:00:00,2025-10-27 06:59:00,1,,9796,,,
2025-10-04 00:11:54,RTA:15460910,CONSTRUCTION,NO_SERVICE,WARNING,Mercury Bus Stop Closure - Construction,"The 7th St. & Mill Ave. Eastbound Only bus stop is closed due to construction.

Bus Stop Closure:
12510 Mill Av & 7th St (SB Mill Av & FS 7th St)",https://www.valleymetro.org/maps-schedules/MERC,2025-06-04 22:20:00,2026-01-01 06:59:00,1,MERC,5198,,,0.0
2025-10-04 00:11:54,RTA:15408583,CONSTRUCTION,DETOUR,INFO,Inbound/Outbound Express and Rapid Routes - Downtown Construction Detour,"Express and Rapid routes will be on detour until further notice. 
Inbound and Outbound:
Regular route to 3rd Ave. and Van Buren St.,
South on 3rd Ave.,
West on Monroe St.,
South on 5th Ave. to resume regular route.

No Bus Stop Closures.",,2024-05-06 20:54:00,2025-10-25 06:59:00,1,531,,,,0.0
2025-10-04 00:11:54,RTA:15408583,CONSTRUCTION,DETOUR,INFO,Inbound/Outbound Express and Rapid Routes - Downtown Construction Detour,"Express and Rapid routes will be on detour until further notice. 
Inbound and Outbound:
Regular route to 3rd Ave. and Van Buren St.,
South on 3rd Ave.,
West on Monroe St.,
South on 5th Ave. to resume regular route.

No Bus Stop Closures.",,2024-05-06 20:54:00,2025-10-25 06:59:00,1,542,,,,0.0
2025-10-04 00:11:54,RTA:15408583,CONSTRUCTION,DETOUR,INFO,Inbound/Outbound Express and Rapid Routes - Downtown Construction Detour,"Express and Rapid routes will be on detour until further notice. 
Inbound and Outbound:
Regular route to 3rd Ave. and Van Buren St.,
South on 3rd Ave.,
West on Monroe St.,
South on 5th Ave. to resume regular route.

No Bus Stop Closures.",,2024-05-06 20:54:00,2025-10-25 06:59:00,1,521,,,,0.0
2025-10-04 00:11:54,RTA:15408583,CONSTRUCTION,DETOUR,INFO,Inbound/Outbound Express and Rapid Routes - Downtown Construction Detour,"Express and Rapid routes will be on detour until further notice. 
Inbound and Outbound:
Regular route to 3rd Ave. and Van Buren St.,
South on 3rd Ave.,
West on Monroe St.,
South on 5th Ave. to resume regular route.

No Bus Stop Closures.",,2024-05-06 20:54:00,2025-10-25 06:59:00,1,522,,,,0.0
2025-10-04 00:11:54,RTA:15408583,CONSTRUCTION,DETOUR,INFO,Inbound/Outbound Express and Rapid Routes - Downtown Construction Detour,"Express and Rapid routes will be on detour until further notice. 
Inbound and Outbound:
Regular route to 3rd Ave. and Van Buren St.,
South on 3rd Ave.,
West on Monroe St.,
South on 5th Ave. to resume regular route.

No Bus Stop Closures.",,2024-05-06 20:54:00,2025-10-25 06:59:00,1,533,,,,0.0
2025-10-04 00:11:54,RTA:15408583,CONSTRUCTION,DETOUR,INFO,Inbound/Outbound Express and Rapid Routes - Downtown Construction Detour,"Express and Rapid routes will be on detour until further notice. 
Inbound and Outbound:
Regular route to 3rd Ave. and Van Buren St.,
South on 3rd Ave.,
West on Monroe St.,
South on 5th Ave. to resume regular route.

No Bus Stop Closures.",,2024-05-06 20:54:00,2025-10-25 06:59:00,1,535,,,,0.0
2025-10-04 00:11:54,RTA:15408583,CONSTRUCTION,DETOUR,INFO,Inbound/Outbound Express and Rapid Routes - Downtown Construction Detour,"Express and Rapid routes will be on detour until further notice. 
Inbound and Outbound:
Regular route to 3rd Ave. and Van Buren St.,
South on 3rd Ave.,
West on Monroe St.,
South on 5th Ave. to resume regular route.

No Bus Stop Closures.",,2024-05-06 20:54:00,2025-10-25 06:59:00,1,514,,,,0.0
2025-10-04 00:11:54,RTA:15408583,CONSTRUCTION,DETOUR,INFO,Inbound/Outbound Express and Rapid Routes - Downtown Construction Detour,"Express and Rapid routes will be on detour until further notice. 
Inbound and Outbound:
Regular route to 3rd Ave. and Van Buren St.,
South on 3rd Ave.,
West on Monroe St.,
South on 5th Ave. to resume regular route.

No Bus Stop Closures.",,2024-05-06 20:54:00,2025-10-25 06:59:00,1,SME,,,,0.0
2025-10-04 00:11:54,RTA:15408583,CONSTRUCTION,DETOUR,INFO,Inbound/Outbound Express and Rapid Routes - Downtown Construction Detour,"Express and Rapid routes will be on detour until further notice. 
Inbound and Outbound:
Regular route to 3rd Ave. and Van Buren St.,
South on 3rd Ave.,
West on Monroe St.,
South on 5th Ave. to resume regular route.

No Bus Stop Closures.",,2024-05-06 20:54:00,2025-10-25 06:59:00,1,I10E,,,,0.0
2025-10-04 00:11:54,RTA:15408583,CONSTRUCTION,DETOUR,INFO,Inbound/Outbound Express and Rapid Routes - Downtown Construction Detour,"Express and Rapid routes will be on detour until further notice. 
Inbound and Outbound:
Regular route to 3rd Ave. and Van Buren St.,
South on 3rd Ave.,
West on Monroe St.,
South on 5th Ave. to resume regular route.

No Bus Stop Closures.",,2024-05-06 20:54:00,2025-10-25 06:59:00,1,SMW,,,,1.0
2025-10-04 00:11:54,RTA:15408583,CONSTRUCTION,DETOUR,INFO,Inbound/Outbound Express and Rapid Routes - Downtown Construction Detour,"Express and Rapid routes will be on detour until further notice. 
Inbound and Outbound:
Regular route to 3rd Ave. and Van Buren St.,
South on 3rd Ave.,
West on Monroe St.,
South on 5th Ave. to resume regular route.

No Bus Stop Closures.",,2024-05-06 20:54:00,2025-10-25 06:59:00,1,SR51,,,,0.0
2025-10-04 00:11:54,RTA:15408583,CONSTRUCTION,DETOUR,INFO,Inbound/Outbound Express and Rapid Routes - Downtown Construction Detour,"Express and Rapid routes will be on detour until further notice. 
Inbound and Outbound:
Regular route to 3rd Ave. and Van Buren St.,
South on 3rd Ave.,
West on Monroe St.,
South on 5th Ave. to resume regular route.

No Bus Stop Closures.",,2024-05-06 20:54:00,2025-10-25 06:59:00,1,I10W,,,,0.0
2025-10-04 00:11:54,RTA:15464695,OTHER_CAUSE,MODIFIED_SERVICE,WARNING,Rt. 685 service now begins and ends at new stop,Service will now begin and end at Telera St./Esperanza Ave. Route will no longer serve previous stop at Ajo Transportation Office.,,2025-06-30 17:27:00,2025-10-27 06:59:00,1,685,,,,
2025-10-04 00:11:54,RTA:15465159,CONSTRUCTION,NO_SERVICE,INFO,Jefferson & 9th Ave Bus Stop Closed,"Stop #10207 Eastbound Jefferson St & 9th Av will be closed beginning Monday, July 14, 2025 due to construction. 

Bus Stop Closure:
#10207 Jefferson St & 9th Av (EB Jefferson St & FS 9th Av)

Alternative Stops: 
Jefferson St & 11th Av; Jefferson St & 7th Av",,2025-07-14 07:00:00,2025-10-27 06:59:00,1,,1450,,,
2025-10-04 00:11:54,RTA:15476520,CONSTRUCTION,SIGNIFICANT_DELAYS,INFO,Rt. 45 Ongoing Construction between Dobson Rd. and Price Rd.,"Eastbound and Westbound:
Due to ongoing construction, please expect continuous delays at bus stops along Route 45 between Dobson Rd and Price Rd. This project will continue through May 2026.",,2025-09-17 13:40:00,2026-06-01 06:59:00,1,45,,,,
2025-10-04 00:11:54,RTA:15476554,CONSTRUCTION,NO_SERVICE,WARNING,Rt. 104 Detour between Arizona Ave./Frye Rd. and Hamilton St./Morelos St. - Construction,"Northbound:
Regular route to Hamilton St and Morelos St; 
South on Hamilton St.,
East on Pecos Rd.,
North on Ithica St.,
West on Frye Rd to resume regular route.

Southbound:
Regular route to Arizona Ave. and Frye Rd;
North on Arizona Ave.,
East on Boston St.,
North on S Delaware St.,
East Commonwealth Ave.
South on Hamilton St., 
East on Frye Rd.,  
South on Ithica St.,
West on Pecos Rd.,
North on Hamilton St., 
East on Morelos St. to layover.

Bus Stop Closures
#16215 Washington St & Frye Rd (NB Washington St & FS Frye Rd) 
#17099 Delaware St & Frye Rd (SB Delaware St & NS Frye Rd) 
#17100 Hamilton St & Frye Rd (SB Hamilton St & FS Frye Rd)",,2025-09-22 14:47:00,2025-10-18 06:59:00,1,104,30580,,,
