id,vehicle_trip_tripId,vehicle_trip_routeId,vehicle_trip_directionId,vehicle_vehicle_id,vehicle_vehicle_label,vehicle_position_latitude,vehicle_position_longitude,vehicle_position_bearing,vehicle_position_odometer,vehicle_position_speed,vehicle_currentStopSequence,vehicle_currentStatus,vehicle_stopId,vehicle_timestamp,header_timestamp
RTVP:T:22803274,22803274,29,0.0,5024,44th St+Thomas Rd,33.47933,-112.228325,179.0,18104.0,0.0,1.0,STOPPED_AT,9580,2025-10-04 00:21:42,2025-10-04 00:21:46
RTVP:T:22804315,22804315,3,1.0,5342,35th Ave+Van Buren,33.44732,-111.98983,269.0,1607.0,0.0,1.0,IN_TRANSIT_TO,6122,2025-10-04 00:21:30,2025-10-04 00:21:46
RTVP:V:5616,,,,5616,,33.4473,-111.99001,91.0,1625.0,0.0,,,,2025-10-04 00:21:26,2025-10-04 00:21:46
RTVP:T:22804250,22804250,3,0.0,5274,44th St+Van Buren,33.44986,-112.141335,270.0,1310.0,0.0,1.0,IN_TRANSIT_TO,1812,2025-10-04 00:19:18,2025-10-04 00:21:46
RTVP:T:22788293,22788293,ALEX,0.0,3009,51st St+Elliot via Pecos PNR,33.30579,-112.05521,113.0,3865.0,0.0,1.0,IN_TRANSIT_TO,40338,2025-10-04 00:21:27,2025-10-04 00:21:46
RTVP:T:22787818,22787818,27,0.0,5261,Bell Rd+29th Ave,33.421276,-112.105705,43.0,3176.0,0.0,1.0,IN_TRANSIT_TO,9183,2025-10-04 00:21:35,2025-10-04 00:21:46
RTVP:T:22788172,22788172,I10W,1.0,7317,Desert Sky TC,33.444912,-112.1024,88.0,40437.0,0.0,1.0,INCOMING_AT,7845,2025-10-04 00:21:32,2025-10-04 00:21:46
RTVP:T:22788169,22788169,I10W,1.0,7177,Desert Sky TC,33.4611,-112.081795,264.0,41684.0,15.6464,2.0,IN_TRANSIT_TO,7846,2025-10-04 00:21:16,2025-10-04 00:21:46
RTVP:V:5167,,,,5167,,33.432438,-112.13447,22.0,6985.0,0.0,,,,2025-10-04 00:19:36,2025-10-04 00:21:46
RTVP:T:22788210,22788210,I17,1.0,7316,Happy Valley PNR,33.580284,-112.1211,280.0,0.0,7.15264,1.0,IN_TRANSIT_TO,7838,2025-10-04 00:21:19,2025-10-04 00:21:46
RTVP:T:22788211,22788211,I17,1.0,7323,Happy Valley PNR via Thelda Williams TC,33.455097,-112.07008,183.0,46175.0,0.0,1.0,INCOMING_AT,7838,2025-10-04 00:21:23,2025-10-04 00:21:46
RTVP:T:22788152,22788152,I10E,1.0,7314,40th St+Pecos,33.447044,-112.09921,91.0,63451.0,0.0,1.0,INCOMING_AT,7845,2025-10-04 00:21:41,2025-10-04 00:21:46
RTVP:T:22803694,22803694,59,0.0,5272,Beardsley+59th Ave,33.437653,-112.18645,337.0,598.0,6.7056,3.0,IN_TRANSIT_TO,2487,2025-10-04 00:21:04,2025-10-04 00:21:46
RTVP:T:22804013,22804013,41,1.0,5719,107th Av+Indian Schl,33.50927,-111.890076,91.0,5450.0,0.0,1.0,IN_TRANSIT_TO,9715,2025-10-04 00:21:33,2025-10-04 00:21:46
RTVP:T:22804129,22804129,41,0.0,8141,Granite Reef+Indn Sc,33.493523,-112.28984,90.0,412.0,0.0,1.0,INCOMING_AT,7934,2025-10-04 00:21:42,2025-10-04 00:21:46
RTVP:T:22787894,22787894,27,1.0,5657,Lower Buckeye+27th Av,33.68172,-112.10874,180.0,2405.0,0.0,1.0,INCOMING_AT,1625,2025-10-04 00:21:24,2025-10-04 00:21:46
RTVP:T:22591963,22591963,563,1.0,7023,Buckeye PNR,33.446674,-112.10225,7.0,73814.0,0.0,1.0,INCOMING_AT,1453,2025-10-04 00:21:39,2025-10-04 00:21:46
RTVP:T:22786937,22786937,10,1.0,5168,Central+Van Buren,33.44916,-112.01118,180.0,3093.0,0.0,1.0,IN_TRANSIT_TO,5858,2025-10-04 00:21:21,2025-10-04 00:21:46
RTVP:T:22786134,22786134,90,1.0,5648,67th Ave+Olive,33.67762,-112.03119,179.0,375.0,11.62304,2.0,IN_TRANSIT_TO,8206,2025-10-04 00:21:42,2025-10-04 00:21:46
RTVP:V:5698,,,,5698,,33.498596,-112.11703,194.0,3340.0,0.0,,,,2025-10-04 00:21:29,2025-10-04 00:21:46
RTVP:T:22786453,22786453,186,0.0,5308,Scottsdale Rd+Mayo,33.643166,-112.225,109.0,8.0,0.0,1.0,INCOMING_AT,975,2025-10-04 00:21:11,2025-10-04 00:21:46
RTVP:T:22787717,22787717,7,0.0,5149,Dunlap+7th St,33.37417,-112.06714,96.0,1125.0,0.0,1.0,INCOMING_AT,3255,2025-10-04 00:21:35,2025-10-04 00:21:46
RTVP:T:22786070,22786070,60,1.0,5677,83rd Av+Bethany Home,33.508915,-112.021706,181.0,2274.0,0.0,1.0,IN_TRANSIT_TO,5553,2025-10-04 00:21:27,2025-10-04 00:21:46
RTVP:T:22788240,22788240,SR51,1.0,7167,Bell/SR 51,33.71035,-112.11859,130.0,0.0,0.0,1.0,IN_TRANSIT_TO,7845,2025-10-04 00:21:33,2025-10-04 00:21:46
RTVP:T:22788129,22788129,SME,1.0,7315,24th St+Baseline,33.446938,-112.10685,90.0,95864.0,14.75232,1.0,INCOMING_AT,7845,2025-10-04 00:21:14,2025-10-04 00:21:46
RTVP:T:22788151,22788151,I10E,1.0,7182,40th St+Pecos,33.447075,-112.09956,89.0,95966.0,0.0,1.0,INCOMING_AT,7845,2025-10-04 00:21:38,2025-10-04 00:21:46
RTVP:T:22788239,22788239,SR51,1.0,7303,Bell/SR 51,33.44705,-112.09939,89.0,95979.0,0.0,1.0,INCOMING_AT,7845,2025-10-04 00:21:41,2025-10-04 00:21:46
RTVP:T:22788171,22788171,I10W,1.0,7308,Desert Sky TC,33.44693,-112.09887,90.0,25932.0,0.0,1.0,INCOMING_AT,7845,2025-10-04 00:21:21,2025-10-04 00:21:46
RTVP:T:22804087,22804087,41,1.0,5619,59th Av+Indian School,33.495007,-111.98794,270.0,3278.0,0.0,1.0,IN_TRANSIT_TO,5685,2025-10-04 00:21:25,2025-10-04 00:21:46
RTVP:V:5154,,,,5154,,33.502068,-111.91488,67.0,10607.0,0.0,,,,2025-10-04 00:21:16,2025-10-04 00:21:46
RTVP:T:22787545,22787545,35,0.0,5220,Thelda Williams TC,33.4223,-112.11662,90.0,5465.0,8.9408,1.0,IN_TRANSIT_TO,3217,2025-10-04 00:21:22,2025-10-04 00:21:46
RTVP:T:22788124,22788124,SMW,1.0,7310,27th Ave+Baseline,33.386402,-111.96773,1.0,28039.0,28.61056,1.0,IN_TRANSIT_TO,27,2025-10-04 00:21:37,2025-10-04 00:21:46
RTVP:T:22786897,22786897,32,0.0,5318,Camelback+28th St,33.37816,-111.99824,270.0,820.0,12.51712,1.0,IN_TRANSIT_TO,20020,2025-10-04 00:21:41,2025-10-04 00:21:46
RTVP:T:22803983,22803983,83,1.0,5330,Van Buren+83rd Ave,33.6432,-112.22521,100.0,397.0,0.0,1.0,INCOMING_AT,975,2025-10-04 00:21:27,2025-10-04 00:21:46
RTVP:T:22561681,22561681,EART,0.0,1627,Tempe Marketplace,33.42572,-111.93632,359.0,0.0,3.12928,2.0,INCOMING_AT,5324,2025-10-04 00:21:40,2025-10-04 00:21:46
RTVP:T:22561674,22561674,EART,0.0,1634,Tempe Marketplace,33.45115,-111.93162,268.0,20199.0,11.62304,20.0,INCOMING_AT,9684,2025-10-04 00:21:38,2025-10-04 00:21:46
RTVP:T:22561668,22561668,EART,0.0,1660,Tempe Marketplace,33.44239,-111.922134,141.0,36561.0,0.44704,32.0,INCOMING_AT,40251,2025-10-04 00:21:38,2025-10-04 00:21:46
RTVP:T:22561387,22561387,EART,1.0,1650,Downtown Tempe/ASU,33.44224,-111.92075,270.0,8968.0,8.04672,12.0,IN_TRANSIT_TO,3075,2025-10-04 00:21:26,2025-10-04 00:21:46
RTVP:T:22561386,22561386,EART,1.0,1635,Downtown Tempe/ASU,33.4584,-111.93179,269.0,20976.0,0.44704,16.0,INCOMING_AT,4557,2025-10-04 00:21:31,2025-10-04 00:21:46
RTVP:T:22561388,22561388,EART,1.0,1661,Downtown Tempe/ASU,33.439983,-111.926506,201.0,34023.0,0.0,27.0,INCOMING_AT,4733,2025-10-04 00:21:28,2025-10-04 00:21:46
RTVP:T:22561223,22561223,FBUZ,1.0,1672,Southern+Alma School,33.431915,-111.868286,42.0,405.0,7.59968,2.0,INCOMING_AT,8997,2025-10-04 00:21:27,2025-10-04 00:21:46
RTVP:T:22561225,22561225,FBUZ,1.0,1671,Southern+Alma School,33.400642,-111.87002,125.0,22491.0,0.44704,16.0,INCOMING_AT,40304,2025-10-04 00:21:27,2025-10-04 00:21:46
