name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type
3056,1000032,1000032,-122.489912,37.775989,3,31,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.489912 37.775989),0,,
3057,1000033,1000033,-122.491838,37.776024,3,31,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.491838 37.776024),0,,
3058,1000034,1000034,-122.492056,37.77589,3,31,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.492056 37.77589),0,,
3059,1000035,1000035,-122.494199,37.775791,3,18,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.494199 37.775791),0,,
3060,1000036,1000036,-122.494577,37.775898,3,18,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.494577 37.775898),0,,
3061,1000037,1000037,-122.497202,37.775781,3,18,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.497202 37.775781),0,,
3062,1000038,1000038,-122.497419,37.775647,3,18,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.497419 37.775647),0,,
3063,1000039,1000039,-122.500399,37.775637,3,18,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.500399 37.775637),0,,
3064,1000040,1000040,-122.500617,37.775503,3,18,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.500617 37.775503),0,,
3065,1000041,1000041,-122.50362,37.775484,3,18,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.50362 37.775484),0,,
3066,1000042,1000042,-122.503838,37.77535,3,18,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.503838 37.77535),0,,
3067,1000043,1000043,-122.45886,37.77747,3,31,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.45886 37.77747),0,,
3070,1000044,1000044,-122.472227,37.776895,3,31,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.472227 37.776895),0,,
3071,1000045,1000045,-122.472411,37.776788,3,31,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.472411 37.776788),0,,
3072,1000046,1000046,-122.444798,37.801541,3,30,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.444798 37.801541),0,,
3074,1000047,1000047,-122.445176,37.803415,3,30,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.445176 37.803415),0,,
3075,1000048,1000048,-122.444603,37.800622,3,30,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.444603 37.800622),0,,
3076,1000049,1000049,-122.44536,37.804343,3,30,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.44536 37.804343),0,,
3077,1000050,1000050,-122.444982,37.802478,3,30,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.444982 37.802478),0,,
3082,1000051,1000051,-122.406345,37.797831,3,12,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.406345 37.797831),0,,
3084,1000052,1000052,-122.40396,37.798134,3,12,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.40396 37.798134),0,,
3085,1000053,1000053,-122.436442,37.794131,3,22,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.436442 37.794131),0,,
3086,1000054,1000054,-122.436278,37.794056,3,22,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.436278 37.794056),0,,
3087,1000055,1000055,-122.408294,37.797591,3,12,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.408294 37.797591),0,,
3089,1000056,1000056,-122.396879,37.791939,3,38,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.396879 37.791939),0,,
3092,1000057,1000057,-122.414125,37.807407,0,F,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.414125 37.807407),0,,
3093,1000058,1000058,-122.423195,37.806375,3,19,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.423195 37.806375),1,,
3095,1000059,1000059,-122.41081,37.807841,0,F,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.41081 37.807841),0,,
3096,1000060,1000060,-122.431181,37.736655,3,35,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.431181 37.736655),0,,
3103,1000061,1000061,-122.38846,37.76079,3,15,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.38846 37.76079),0,,
3104,1000062,1000062,-122.3887,37.76059,3,15,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.3887 37.76059),0,,
3107,1000063,1000063,-122.3879,37.75569,3,TBUS,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.3879 37.75569),0,,
3108,1000064,1000064,-122.3881,37.75506,3,TBUS,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.3881 37.75506),0,,
3113,1000065,1000065,-122.391731,37.7322,3,TBUS,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.391731 37.7322),0,,
3114,1000066,1000066,-122.393185,37.779285,3,30,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.393185 37.779285),0,,
3115,1000067,1000067,-122.3943,37.72567,3,TBUS,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.3943 37.72567),0,,
3116,1000068,1000068,-122.3942,37.7253,3,TBUS,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.3942 37.7253),0,,
3123,1000069,1000069,-122.38815,37.74244,3,15,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.38815 37.74244),0,,
3124,1000070,1000070,-122.399326,37.784204,3,30,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.399326 37.784204),0,,
3127,1000071,1000071,-122.3887,37.74012,3,54,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.3887 37.74012),0,,
3129,1000072,1000072,-122.38926,37.73932,3,54,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.38926 37.73932),0,,
3134,1000073,1000073,-122.389803,37.737213,3,54,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.389803 37.737213),0,,
3135,1000074,1000074,-122.389619,37.737927,3,54,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.389619 37.737927),0,,
3136,1000075,1000075,-122.40211,37.786373,3,15,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.40211 37.786373),0,,
3141,1000076,1000076,-122.390928,37.734091,3,24,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.390928 37.734091),1,,
3143,1000077,1000077,-122.390721,37.734787,3,54,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.390721 37.734787),0,,
3144,1000078,1000078,-122.396198,37.781651,3,30,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.396198 37.781651),0,,
