service_id,service_description
23-09-SEP-01-SAT-Saturday-04,"Saturday"
23-09-SEP-01-SAT-Saturday-05,"Saturday"
23-09-SEP-01-SUN-Sunday-04,"Sunday"
23-09-SEP-01-SUN-Sunday-05,"Sunday"
23-09-SEP-01-WKDY-Weekday-05,"Weekday"
23-09-SEP-01-WKDY-Weekday-06,"Weekday"
23-09-SEP-01-WKDY-Weekday-05--0111000,"Tue, Wed, Thu"
23-09-SEP-01-WKDY-Weekday-06--0111000,"Tue, Wed, Thu"
23-09-SEP-02-FSAT-Saturday-02,"Saturday"
23-09-SEP-02-FSUN-Sunday-02,"Sunday"
23-09-SEP-02-FWKDY-Weekday-02,"Weekday"
