trip_id,stop_id,arrival_time,departure_time,stop_sequence,continuous_pickup,continuous_drop_off,start_service_area_radius,end_service_area_radius,departure_buffer
800026-SCH-1909-Blocking-Weekday-30,755000,09:50:00,09:50:00,1,-999,-999,-999.0,-999.0,0
800026-SCH-1909-Blocking-Weekday-30,755009,10:00:00,10:00:00,2,-999,-999,-999.0,-999.0,0
800027-SCH-1909-Blocking-Weekday-30,755009,10:00:00,10:00:00,1,-999,-999,-999.0,-999.0,0
800027-SCH-1909-Blocking-Weekday-30,755000,10:10:00,10:10:00,2,-999,-999,-999.0,-999.0,0
800028-SCH-1909-Blocking-Weekday-30,755000,10:10:00,10:10:00,1,-999,-999,-999.0,-999.0,0
800028-SCH-1909-Blocking-Weekday-30,755009,10:20:00,10:20:00,2,-999,-999,-999.0,-999.0,0
800029-SCH-1909-Blocking-Weekday-30,755009,10:20:00,10:20:00,1,-999,-999,-999.0,-999.0,0
800029-SCH-1909-Blocking-Weekday-30,755000,10:30:00,10:30:00,2,-999,-999,-999.0,-999.0,0
800030-SCH-1909-Blocking-Weekday-30,755000,10:30:00,10:30:00,1,-999,-999,-999.0,-999.0,0
800030-SCH-1909-Blocking-Weekday-30,755009,10:40:00,10:40:00,2,-999,-999,-999.0,-999.0,0
800031-SCH-1909-Blocking-Weekday-30,755009,10:40:00,10:40:00,1,-999,-999,-999.0,-999.0,0
800031-SCH-1909-Blocking-Weekday-30,755000,10:50:00,10:50:00,2,-999,-999,-999.0,-999.0,0
800032-SCH-1909-Blocking-Weekday-30,755000,10:50:00,10:50:00,1,-999,-999,-999.0,-999.0,0
800032-SCH-1909-Blocking-Weekday-30,755009,11:00:00,11:00:00,2,-999,-999,-999.0,-999.0,0
800033-SCH-1909-Blocking-Weekday-30,755009,11:00:00,11:00:00,1,-999,-999,-999.0,-999.0,0
800033-SCH-1909-Blocking-Weekday-30,755000,11:10:00,11:10:00,2,-999,-999,-999.0,-999.0,0
800034-SCH-1909-Blocking-Weekday-30,755000,11:10:00,11:10:00,1,-999,-999,-999.0,-999.0,0
800034-SCH-1909-Blocking-Weekday-30,755009,11:20:00,11:20:00,2,-999,-999,-999.0,-999.0,0
800035-SCH-1909-Blocking-Weekday-30,755009,11:20:00,11:20:00,1,-999,-999,-999.0,-999.0,0
800035-SCH-1909-Blocking-Weekday-30,755000,11:30:00,11:30:00,2,-999,-999,-999.0,-999.0,0
800036-SCH-1909-Blocking-Weekday-30,755000,11:30:00,11:30:00,1,-999,-999,-999.0,-999.0,0
800036-SCH-1909-Blocking-Weekday-30,755009,11:40:00,11:40:00,2,-999,-999,-999.0,-999.0,0
800037-SCH-1909-Blocking-Weekday-30,755009,11:40:00,11:40:00,1,-999,-999,-999.0,-999.0,0
800037-SCH-1909-Blocking-Weekday-30,755000,11:50:00,11:50:00,2,-999,-999,-999.0,-999.0,0
800038-SCH-1909-Blocking-Weekday-30,755000,11:50:00,11:50:00,1,-999,-999,-999.0,-999.0,0
800038-SCH-1909-Blocking-Weekday-30,755009,12:00:00,12:00:00,2,-999,-999,-999.0,-999.0,0
800039-SCH-1909-Blocking-Weekday-30,755009,12:00:00,12:00:00,1,-999,-999,-999.0,-999.0,0
800039-SCH-1909-Blocking-Weekday-30,755000,12:10:00,12:10:00,2,-999,-999,-999.0,-999.0,0
800040-SCH-1909-Blocking-Weekday-30,755000,12:10:00,12:10:00,1,-999,-999,-999.0,-999.0,0
800040-SCH-1909-Blocking-Weekday-30,755009,12:20:00,12:20:00,2,-999,-999,-999.0,-999.0,0
800041-SCH-1909-Blocking-Weekday-30,755009,12:20:00,12:20:00,1,-999,-999,-999.0,-999.0,0
800041-SCH-1909-Blocking-Weekday-30,755000,12:30:00,12:30:00,2,-999,-999,-999.0,-999.0,0
800042-SCH-1909-Blocking-Weekday-30,755000,12:30:00,12:30:00,1,-999,-999,-999.0,-999.0,0
800042-SCH-1909-Blocking-Weekday-30,755009,12:40:00,12:40:00,2,-999,-999,-999.0,-999.0,0
800043-SCH-1909-Blocking-Weekday-30,755009,12:40:00,12:40:00,1,-999,-999,-999.0,-999.0,0
800043-SCH-1909-Blocking-Weekday-30,755000,12:50:00,12:50:00,2,-999,-999,-999.0,-999.0,0
800044-SCH-1909-Blocking-Weekday-30,755000,12:50:00,12:50:00,1,-999,-999,-999.0,-999.0,0
